姓名,联系电话,电子邮箱,家庭住址,工作单位,即时联系方式,联系人生日,Web地址,普通标签,所属分组,关系标签
清华,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,同学,
霍山,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,好友,
水木,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,好友,
周星星,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,好友,
周星星,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,家人,
霍山,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,,
jjj,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,同事,
jjj,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,同事,
zzz,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,家人,
jjj,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,同事,
zxs,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,家人,
zxs,010-51534419,中华人民共和国北京市海淀区清华大学紫荆公寓1#419B,,,,,,,家人,
